ind,open,close,low,high,volume,ma5,kf,macd,pjsp5,pjsp5bl,lrkf
107,18804.47,18770,18745.83,18839.47,514.7414723,18629.608,C,33.14048479,18799.77,0.001586042,CC
108,18769.99,18784.3,18733.95,18835.69,561.0928994,18706.894,C,34.11488771,18805.51,0.001129134,CB
109,18783.3,18868.76,18755.12,18945,999.8978189,18783.568,B,37.28548488,18788.58,-0.004249352,BB
110,18868.77,18804,18774.9,18879.71,688.5146355,18806.306,B,32.05855318,18798.358,-0.000300043,BB
111,18803.99,18747.58,18712.03,18865.78,846.7980717,18794.928,B,22.30138884,18819.104,0.003815106,BA
112,18745.72,18794.21,18712.7,18804.91,621.3197072,18799.77,A,16.74183001,18855.238,0.00324717,AB
113,18791.49,18813,18750,18828,675.1911799,18805.51,B,12.28984847,18941.682,0.006840057,BB
114,18810.54,18784.11,18760.99,18832.36,542.8086675,18788.58,B,5.694617894,19033.166,0.013258866,BB
115,18787.57,18852.89,18769.27,18883.3,927.2021246,18798.358,B,4.321865264,19115.964,0.013954041,BC
116,18854.41,18851.31,18831.91,18934,1202.607382,18819.104,C,1.794361364,19201.698,0.018586931,CC
117,18851.32,18974.88,18849.04,18990,866.6029598,18855.238,C,6.658268584,19270.31,0.015569532,CC
118,18976.27,19245.22,18976.26,19287.91,3650.430603,18941.682,C,25.25133802,19291.55,0.002407351,CC
119,19247.22,19241.53,19181.72,19316,2370.483715,19033.166,C,33.92939362,19307.194,0.003412618,CC
120,19241.53,19266.88,19200,19307.98,1746.307073,19115.964,C,37.71392561,19313.22,0.002405164,CC
121,19266.88,19279.98,19259.98,19380.95,2339.118359,19201.698,C,37.36517634,19300.296,0.001053736,CB
122,19279.99,19317.94,19219.48,19350,1015.090503,19270.31,B,35.9453928,19303.506,-0.000747181,BB
123,19317.94,19351.42,19270,19412.49,2790.741743,19291.55,B,33.56090317,19288.11,-0.003271595,BB
124,19351.42,19319.75,19290.51,19419,1221.136399,19307.194,B,26.46254045,19261.712,-0.003004076,BB
125,19319.75,19297.01,19288,19370,1015.336372,19313.22,B,17.29129956,19241.552,-0.002873917,BB
126,19297.01,19215.36,19089.09,19335.55,1737.149726,19300.296,B,3.502681451,19229.642,0.00074326,BB
127,19215.35,19333.99,19209.15,19392.19,2367.792824,19303.506,B,0.316221289,19200.398,-0.006909696,BB
128,19333.99,19274.44,19194.65,19340,1054.506835,19288.11,B,-7.429724234,19168.308,-0.00550636,BB
129,19274.44,19187.76,19175.49,19274.44,471.8078782,19261.712,B,-19.34185096,19165.086,-0.001181691,BA
130,19187.76,19196.21,19162,19237.12,556.115599,19241.552,A,-27.12574764,19137.634,-0.003051436,AA
131,19196.21,19155.81,19111.4,19196.21,615.4237969,19229.642,A,-34.96977278,19123.638,-0.00167949,AB
132,19155.26,19187.77,19150.4,19223.85,241.7670745,19200.398,B,-37.74273918,19145.936,-0.002180243,BB
133,19187.77,19113.99,18986.65,19190.73,752.8567179,19168.308,B,-43.85395716,19174.988,0.003191275,BB
134,19112.1,19171.65,19091.66,19224.52,614.3912009,19165.086,B,-43.24902064,19165.69,-0.000310876,BB
135,19171.74,19058.95,19000,19171.75,654.204733,19137.634,B,-49.23964431,19171.126,0.005885739,BA
